PREFERRED_NAME,INCHIKEY,SMILES
"1H-Perfluoro-3,3-bis(trifluoromethyl)hexyne",UEYXJPFQJDFMGD-UHFFFAOYSA-N,C#CC(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F
Bis(heneicosafluorodecyl)phosphinic acid,DEENCVDXCNHHAM-UHFFFAOYSA-N,C(CP(=O)(CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
Tris(2-(perfluorododecyl)ethyl)phosphate,JKDZBIHMORMGRL-UHFFFAOYSA-N,C(COP(=O)(OCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"2-Chloro-2-propenoic acid 3,3,4,4,5,5,6,6,6-nonafluorohexyl ester",CVMPVWSYSNATQO-UHFFFAOYSA-N,C=C(C(=O)OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)Cl
"Bicyclo[2.2.1]hept-2-ene, 5,5,6-trifluoro-6-(heptafluoropropoxy)-",JZEKVGIWHZEUSP-UHFFFAOYSA-N,C1=CC2CC1C(C2(F)OC(C(C(F)(F)F)(F)F)(F)F)(F)F
"3,3,4-Trifluoro-4-(heptafluoropropoxy)tricyclo[4.2.1.0~2,5~]non-7-ene",NGEYGRCDNBGSKG-UHFFFAOYSA-N,C1=CC2CC1C1C2C(C1(F)F)(F)OC(C(C(F)(F)F)(F)F)(F)F
5-(Nonafluorobutyl)bicyclo[2.2.1]hept-2-ene,QAIOQFZLAKMXNK-UHFFFAOYSA-N,C1=CC2CC1CC2C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
3-(Heptafluorobutyryl)camphor,PEWOESYEGLBLNR-UHFFFAOYSA-N,CC1(C)C2CCC1(C)C(=O)C2C(=O)C(C(C(F)(F)F)(F)F)(F)F
Perfluorobutylsulfonamide,FUVKFLJWBHVMHX-UHFFFAOYSA-N,C(C(C(F)(F)S(=O)(=O)N)(F)F)(C(F)(F)F)(F)F
"N-(3,4-Dichlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",INMDAGXEYRBPRG-UHFFFAOYSA-N,c1cc(c(cc1N=C(C(C(C(F)(F)F)(F)F)(F)F)O)Cl)Cl
"N-(3,5-Dichlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",WGNKYUWDFZMCGQ-UHFFFAOYSA-N,c1c(cc(cc1Cl)N=C(C(C(C(F)(F)F)(F)F)(F)F)O)Cl
"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester",WUGSPVXFVQZHFC-UHFFFAOYSA-N,CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
