,PREFERRED_NAME,SMILES,SIZE,standardized SMILES,INCHIKEY
0,PFNA,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,65,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UZUFPBIDKMEQEQ-UHFFFAOYSA-N
1,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,72,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PCIUEQPBYFRTEM-UHFFFAOYSA-N
2,10:2 FTOH,C(CO)C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,76,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FLXYIZWPNQYPIT-UHFFFAOYSA-N
3,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,58,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SNGREZUHAYWORS-UHFFFAOYSA-N
4,10:2 monoPAP,C(COP(=O)(O)O)C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,85,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MCYKSXMNSXNCIY-UHFFFAOYSA-N
5,1:3 FTCA_143,C(C(=O)[O-])(C(F)(F)F)O,23,O=C([O-])C(O)C(F)(F)F,BVKGUTLIPHZYCX-UHFFFAOYSA-M
6,1:3 FTCA,C(CC(F)(F)F)C(=O)[O-],21,O=C([O-])CCC(F)(F)F,WTUCTMYLCMVYEX-UHFFFAOYSA-M
7,1:3 FTCA_139,C(=C\C(F)(F)F)/C(=O)[O-],24,O=C([O-])C=CC(F)(F)F,QZBAYURFHCTXOJ-UHFFFAOYSA-M
8,1:2 FTCA,C(C(=O)[O-])C(F)(F)F,20,O=C([O-])CC(F)(F)F,KSNKQSPJFRQSEI-UHFFFAOYSA-M
9,1:3 FTCA_157a,C(C(C(=O)[O-])O)C(F)(F)F,24,O=C([O-])C(O)CC(F)(F)F,FGKVOERQNLHPOO-UHFFFAOYSA-M
10,1:3 FTCA_intermediate1,[CH-](C=O)C(F)(F)F,18,O=C[CH-]C(F)(F)F,MAUKTDWQZCNIKE-UHFFFAOYSA-N
11,1:3 FTCA_intermediate2,[C-](=O)C(F)(F)F,16,O=[C-]C(F)(F)F,PCLJWLCYVVQVRY-UHFFFAOYSA-N
12,1:3 FTCA_157b,C(C(C(F)(F)F)O)C(=O)[O-],24,O=C([O-])CC(O)C(F)(F)F,ASQMUMZEQLWJRC-UHFFFAOYSA-M
13,TFA,C(=O)(C(F)(F)F)[O-],19,O=C([O-])C(F)(F)F,DTQVDTLACAAQTR-UHFFFAOYSA-M
14,1:3 FTCA_intermediate3,C(C(=O)C(F)(F)F)C(=O)[O-],25,O=C([O-])CC(=O)C(F)(F)F,LIQBKSIZAXKCPA-UHFFFAOYSA-M
15,1:4 FTCA,C(CC(=O)[O-])CC(F)(F)F,22,O=C([O-])CCCC(F)(F)F,RUEXKRNFAABHHU-UHFFFAOYSA-M
16,1:4 FTCA_169,C(C(=O)CC(F)(F)F)C(=O)[O-],26,O=C([O-])CC(=O)CC(F)(F)F,AFWQDTMMYBTEOZ-UHFFFAOYSA-M
17,1:4 FTCA_153,C(=C\C(=O)[O-])/CC(F)(F)F,25,O=C([O-])C=CCC(F)(F)F,DNJNMLSOKFTGMW-UHFFFAOYSA-M
18,1:4 FTCA_171,C(C(CC(F)(F)F)O)C(=O)[O-],25,O=C([O-])CC(O)CC(F)(F)F,ZLTDHNHHXMDPGA-UHFFFAOYSA-M
19,1:4 FTCA_intermediate1,[CH-](CC(F)(F)F)C=O,19,O=C[CH-]CC(F)(F)F,BRJQPDDEBLTSDW-UHFFFAOYSA-N
20,E7-Alcohol Intermediate,C(C(F)(F)O)(F)(F)F,18,OC(F)(F)C(F)(F)F,NNZZMYIWZFZLHU-UHFFFAOYSA-N
21,E7-Hemiacetal Intermediate,C(=O)(C(O)OC(C(F)(F)F)(F)F)[O-],31,O=C([O-])C(O)OC(F)(F)C(F)(F)F,REWNQICOKDEAFQ-UHFFFAOYSA-M
22,Fluoride Ion,[F-],4,[F-],KRHYYFGTRYWZRS-UHFFFAOYSA-M
