,Unnamed: 0,SMILES,standardized SMILES,INCHIKEY,TSNE1,TSNE2
0,0,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,-3.4600068230944845,-14.68985137306115
1,1,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PCIUEQPBYFRTEM-UHFFFAOYSA-N,-6.924393514070312,-7.80737008474122
2,2,C(CO)C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FLXYIZWPNQYPIT-UHFFFAOYSA-N,-9.027759404633912,4.29163764063722
3,3,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SNGREZUHAYWORS-UHFFFAOYSA-N,-10.450845123615178,-9.564261035374502
4,4,C(COP(=O)(O)O)C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MCYKSXMNSXNCIY-UHFFFAOYSA-N,6.881160458252325,-22.962102093787575
5,5,C(C(=O)[O-])(C(F)(F)F)O,O=C([O-])C(O)C(F)(F)F,BVKGUTLIPHZYCX-UHFFFAOYSA-M,27.415187974697925,16.860958965698742
6,6,C(CC(F)(F)F)C(=O)[O-],O=C([O-])CCC(F)(F)F,WTUCTMYLCMVYEX-UHFFFAOYSA-M,32.81524751058745,1.7753391081022418
7,7,C(=C\C(F)(F)F)/C(=O)[O-],O=C([O-])C=CC(F)(F)F,QZBAYURFHCTXOJ-UHFFFAOYSA-M,-8.559904856806417,24.024501495075892
8,8,C(C(=O)[O-])C(F)(F)F,O=C([O-])CC(F)(F)F,KSNKQSPJFRQSEI-UHFFFAOYSA-M,-18.64149631381138,5.130945624096902
9,9,C(C(C(=O)[O-])O)C(F)(F)F,O=C([O-])C(O)CC(F)(F)F,FGKVOERQNLHPOO-UHFFFAOYSA-M,8.815123658403843,-0.3931647839703128
10,10,[CH-](C=O)C(F)(F)F,O=C[CH-]C(F)(F)F,MAUKTDWQZCNIKE-UHFFFAOYSA-N,16.46749152126529,-17.519568299667178
11,11,[C-](=O)C(F)(F)F,O=[C-]C(F)(F)F,PCLJWLCYVVQVRY-UHFFFAOYSA-N,32.19801058994504,2.5608089262794613
12,12,C(C(C(F)(F)F)O)C(=O)[O-],O=C([O-])CC(O)C(F)(F)F,ASQMUMZEQLWJRC-UHFFFAOYSA-M,32.095904192830886,3.008179943233749
13,13,C(=O)(C(F)(F)F)[O-],O=C([O-])C(F)(F)F,DTQVDTLACAAQTR-UHFFFAOYSA-M,-3.413898856620123,-14.784277933840558
14,14,C(C(=O)C(F)(F)F)C(=O)[O-],O=C([O-])CC(=O)C(F)(F)F,LIQBKSIZAXKCPA-UHFFFAOYSA-M,27.399286651215107,16.778741978387313
15,15,C(CC(=O)[O-])CC(F)(F)F,O=C([O-])CCCC(F)(F)F,RUEXKRNFAABHHU-UHFFFAOYSA-M,32.74954321738865,2.1308327545343437
16,16,C(C(=O)CC(F)(F)F)C(=O)[O-],O=C([O-])CC(=O)CC(F)(F)F,AFWQDTMMYBTEOZ-UHFFFAOYSA-M,-3.449391274049046,-14.774375043013963
17,17,C(=C\C(=O)[O-])/CC(F)(F)F,O=C([O-])C=CCC(F)(F)F,DNJNMLSOKFTGMW-UHFFFAOYSA-M,23.115780954123807,-13.73961580909694
18,18,C(C(CC(F)(F)F)O)C(=O)[O-],O=C([O-])CC(O)CC(F)(F)F,ZLTDHNHHXMDPGA-UHFFFAOYSA-M,-22.521951017552365,-1.0802095376628613
19,19,[CH-](CC(F)(F)F)C=O,O=C[CH-]CC(F)(F)F,BRJQPDDEBLTSDW-UHFFFAOYSA-N,-9.7923254865296,-1.9615560197087083
20,20,C(C(F)(F)O)(F)(F)F,OC(F)(F)C(F)(F)F,NNZZMYIWZFZLHU-UHFFFAOYSA-N,-3.4597622624247593,-14.794448040115801
21,21,C(=O)(C(O)OC(C(F)(F)F)(F)F)[O-],O=C([O-])C(O)OC(F)(F)C(F)(F)F,REWNQICOKDEAFQ-UHFFFAOYSA-M,-6.513964662581646,-5.306214833200029
22,22,[F-],[F-],KRHYYFGTRYWZRS-UHFFFAOYSA-M,-3.45378937737716,-14.717188849200104
23,23,C(=O)(C(F)(F)F)O,O=C(O)C(F)(F)F,DTQVDTLACAAQTR-UHFFFAOYSA-N,25.827272633914536,10.391536163176262
24,24,C(C(=O)[O-])OC(C(F)(F)F)(F)F,O=C([O-])COC(F)(F)C(F)(F)F,JBAHPWZULBRKNC-UHFFFAOYSA-M,-28.980724444904727,-17.81426894918392
25,25,C(=O)(C(=O)[O-])[O-],O=C([O-])C(=O)[O-],MUBZPKHOEPUJKR-UHFFFAOYSA-L,28.783118049793234,-16.306443522816725
26,26,C(F)(F)(F)O,OC(F)(F)F,WZCZNEGTXVXAAS-UHFFFAOYSA-N,-3.4904282567361142,-14.802311843463373
27,27,C(C(=O)[O-])OC(F)(F)F,O=C([O-])COC(F)(F)F,CZXZCEUXKFLRHN-UHFFFAOYSA-M,1.2186224667105596,-8.838754663561259
28,28,C(=O)(C(O)OC(F)(F)F)[O-],O=C([O-])C(O)OC(F)(F)F,YSTZMMUZEOJJHF-UHFFFAOYSA-M,7.628065584478488,-5.880231399087085
29,29,CC(C)(COP(=O)(O)OP(=O)(O)OC[C]1[C]([C]([C](N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)F)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)F,DXZMPGDUJDCXSU-UHFFFAOYSA-N,-10.987744357073264,6.605676110027199
30,30,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(F)(F)F)O,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(F)(F)F,RVDBCBSNUKXEMD-UHFFFAOYSA-N,-10.861099440911117,7.417278963129951
31,31,CC(C)(COP(=O)(O)OP(=O)(O)OC[C]1[C]([C]([C](N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)/C=C(/F)\F)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C]1O[C](n2cnc3c(N)ncnc32)[C](O)[C]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)C=C(F)F,SWOLYPMQXYEIPR-UHFFFAOYSA-N,30.918693933023405,-2.814625518193403
32,32,F,F,KRHYYFGTRYWZRS-UHFFFAOYSA-N,-3.4904282567361142,-14.802311843463373
33,33,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(F)(F)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)(F)F,CKBXUBXXCBZYNN-UHFFFAOYSA-N,-10.794961429945923,7.425362404805445
34,34,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-])O,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-],LTYOQGRJFJAKNA-UHFFFAOYSA-M,-10.798146071527338,7.425669592714955
35,35,C(C(=O)O)C(F)(F)F,O=C(O)CC(F)(F)F,KSNKQSPJFRQSEI-UHFFFAOYSA-N,21.66544357364307,-0.4639677884187055
36,36,C(C(=O)[O-])C(=O)[O-],O=C([O-])CC(=O)[O-],OFOBLEOULBTSOW-UHFFFAOYSA-L,-3.4308836494486594,-14.79700094966839
37,37,C(COC(F)(F)F)C(=O)[O-],O=C([O-])CCOC(F)(F)F,HZYSVGCHQALZGI-UHFFFAOYSA-M,-7.818291393948495,-28.07218987678603
38,38,C(C(=O)[O-])C(O)OC(F)(F)F,O=C([O-])CC(O)OC(F)(F)F,SKRICLUVNMPTHN-UHFFFAOYSA-M,31.461492664508853,-2.3911886282254535
39,39,C(CC(C(F)(F)F)(F)F)C(=O)[O-],O=C([O-])CCC(F)(F)C(F)(F)F,HHSIXPRDVJARSI-UHFFFAOYSA-M,-4.74427429642227,-8.680964032089257
40,40,C(=C(\C(C(F)(F)F)(F)F)/F)/C(=O)[O-],O=C([O-])C=C(F)C(F)(F)C(F)(F)F,ZJJJWFMRGDMLHL-UHFFFAOYSA-M,-8.45491747907241,-21.80785219324958
41,41,C(C(=O)[O-])(C(C(C(F)(F)F)(F)F)(F)F)O,O=C([O-])C(O)C(F)(F)C(F)(F)C(F)(F)F,CZCPDRGMDRNIGB-UHFFFAOYSA-M,27.25807446452922,17.742761744092636
42,42,[CH-](C=O)C(C(C(F)(F)F)(F)F)(F)F,O=C[CH-]C(F)(F)C(F)(F)C(F)(F)F,OOTZALPUCVRWKL-UHFFFAOYSA-N,21.661331872094603,-14.297550209318288
