,Unnamed: 0,PREFERRED_NAME,SMILES,SIZE,SIZE_CATEGORY,standardized SMILES,INCHIKEY,TSNE1,TSNE2
0,0,PFNA,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,65,big,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,-3.460006823,-14.68985137
1,1,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,72,big,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PCIUEQPBYFRTEM-UHFFFAOYSA-N,-6.924393514,-7.807370085
2,2,10:2 FTOH,C(CO)C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,76,big,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FLXYIZWPNQYPIT-UHFFFAOYSA-N,-9.027759405,4.291637641
3,3,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,58,medium,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SNGREZUHAYWORS-UHFFFAOYSA-N,-10.45084512,-9.564261035
4,4,10:2 monoPAP,C(COP(=O)(O)O)C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,85,big,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MCYKSXMNSXNCIY-UHFFFAOYSA-N,6.881160458252325,-22.96210209
5,5,1:3 FTCA_143,C(C(=O)[O-])(C(F)(F)F)O,23,small,O=C([O-])C(O)C(F)(F)F,BVKGUTLIPHZYCX-UHFFFAOYSA-M,27.415187974697925,16.860958965698742
6,6,1:3 FTCA,C(CC(F)(F)F)C(=O)[O-],21,small,O=C([O-])CCC(F)(F)F,WTUCTMYLCMVYEX-UHFFFAOYSA-M,32.81524751058745,1.7753391081022418
7,7,1:3 FTCA_139,C(=C\C(F)(F)F)/C(=O)[O-],24,small,O=C([O-])C=CC(F)(F)F,QZBAYURFHCTXOJ-UHFFFAOYSA-M,-8.559904857,24.024501495075892
8,8,1:2 FTCA,C(C(=O)[O-])C(F)(F)F,20,small,O=C([O-])CC(F)(F)F,KSNKQSPJFRQSEI-UHFFFAOYSA-M,-18.64149631,5.130945624096902
9,9,1:3 FTCA_157a,C(C(C(=O)[O-])O)C(F)(F)F,24,small,O=C([O-])C(O)CC(F)(F)F,FGKVOERQNLHPOO-UHFFFAOYSA-M,8.815123658403843,-0.393164784
10,10,1:3 FTCA_intermediate1,[CH-](C=O)C(F)(F)F,18,small,O=C[CH-]C(F)(F)F,MAUKTDWQZCNIKE-UHFFFAOYSA-N,16.46749152126529,-17.5195683
11,11,1:3 FTCA_intermediate2,[C-](=O)C(F)(F)F,16,small,O=[C-]C(F)(F)F,PCLJWLCYVVQVRY-UHFFFAOYSA-N,32.19801058994504,2.5608089262794613
12,12,1:3 FTCA_157b,C(C(C(F)(F)F)O)C(=O)[O-],24,small,O=C([O-])CC(O)C(F)(F)F,ASQMUMZEQLWJRC-UHFFFAOYSA-M,32.095904192830886,3.008179943233749
13,13,TFA,C(=O)(C(F)(F)F)[O-],19,small,O=C([O-])C(F)(F)F,DTQVDTLACAAQTR-UHFFFAOYSA-M,-3.413898857,-14.78427793
14,14,1:3 FTCA_intermediate3,C(C(=O)C(F)(F)F)C(=O)[O-],25,small,O=C([O-])CC(=O)C(F)(F)F,LIQBKSIZAXKCPA-UHFFFAOYSA-M,27.399286651215107,16.778741978387313
15,15,1:4 FTCA,C(CC(=O)[O-])CC(F)(F)F,22,small,O=C([O-])CCCC(F)(F)F,RUEXKRNFAABHHU-UHFFFAOYSA-M,32.74954321738865,2.1308327545343437
